id,output
1,97.48106726636752
2,99.65012496134221
3,105.16663642869568
4,99.86265693308196
5,100.74287919958766
6,107.13194662329546
7,94.41614330631303
8,102.27138247921884
9,108.29453159760645
10,99.00291687682628
11,95.36340355380037
12,98.5399874839732
13,97.53205624848643
14,96.64680078059055
15,99.08680556711435
16,93.8383977302106
17,101.98608680790022
18,94.78021136902659
19,98.95428891083377
20,96.34759633127771
21,97.71958578029991
22,95.24335348758511
23,97.7859866682248
24,100.52909087236648
25,98.73271718130779
26,92.35341232881798
27,98.66706879722935
28,98.09451375635935
29,100.70562183770556
30,97.83549810323602
31,97.36577296146946
32,99.65287520978946
33,94.70663234336125
34,106.1292688676946
35,94.3153102514911
36,96.07272083157433
37,94.60619848535454
38,96.1157727021802
39,99.51941351476717
40,99.76943621619097
41,99.25016398907671
42,99.78568162700394
43,95.93287117900961
44,95.98118478691639
45,101.05666423616228
46,99.33654677430215
47,94.68831433015048
48,96.56869970678072
49,95.64565291944704
50,102.25907135860231
51,103.96837432154003
52,101.41777247598081
53,112.16115955134356
54,93.73098109450792
55,96.04320064181042
56,105.67767922717717
57,99.19020049877994
58,98.21128634912853
59,102.03539639943295
60,99.34627584798729
61,91.64239763932665
62,94.82076253872158
63,96.23251173602318
64,94.6243082500157
65,96.85391519255258
66,99.67624802198442
67,96.1361666059445
68,98.78562566736947
69,98.45629110904862
70,102.25614537684314
71,104.56004647750788
72,105.36664420626094
73,105.46948836966378
74,100.36629845401995
75,97.53298958403705
76,102.10429080148187
77,96.39258073758039
78,96.8044657588566
79,92.80883960728701
80,96.46329045782615
81,96.10328151975925
82,99.36255471842311
83,97.70091869409318
84,95.96318045905156
85,99.88570834857167
86,102.4146138441498
87,106.82159836904151
88,103.94466923520166
89,97.85873974045991
90,98.72995771811394
91,95.70833294741698
92,97.22298299416661
93,97.48798665262
94,101.30084889792776
95,103.38986833607132
96,101.64699287540054
97,98.90403108101535
98,94.22920703566216
99,96.4472680429577
100,94.96567231888878
101,101.09071566182043
102,96.30699919427286
103,96.98656853475123
104,96.0401588272499
105,97.36370825100745
106,95.58487165411697
107,95.09628281241888
108,98.24773420368574
109,97.86642294213532
110,94.28170090968749
111,98.68542972138108
112,96.51064329823787
113,100.21482655312465
114,101.34576749424596
115,94.5681013701547
116,97.19210482818707
117,97.48033972227324
118,97.97633369628048
119,100.77243755300643
120,94.78228743338131
121,96.70306612291857
122,96.61523615220108
123,100.36473618118673
